geocode,Distance2Center,minDist_subcenter,Build_Density,Urb_Build_Density,Pop_Density,Urb_Pop_Density,SF_share,m2cap,Pop_2018,transit_access,Car_HH,Car_cap,Inc_HH,Inc_cap,HH_size,share_65+,tCO2cap_res,tCO2cap_mob,tCO2cap_energy,Region,Country,pkm_cap_Car,pkm_cap_Transit,Pop_2017,city_size,Country_France,Country_Germany,Population,Income_cap_stand,City_Pop,clean_intersection_density_km,street_density_km,bike_lane_share
149,10.99752754,2.429421889,3796341.991,4014559.428,58.17531139,61.51928498,52.95926431,28.43004427,0,2.869444012,0.879128321,0.323978164,43153.22036,16166.27919,2.669335341,0.121664153,1.154978138,0.7043,1.859278138,Lille,France,3187.5762,531.8447,20485.63404,2,1,0,20485.63404,0,1081875.957,93.24012519,14943.07774,0.106317391
150,9.525872731,1.854681553,5404236.518,5404236.518,73.17387352,73.17387352,54.85839291,33.24568419,0,10.38482284,0.917732508,0.378011664,48025.46655,19223.17802,2.498310451,0.149070888,1.033348791,0.7478,1.781148791,Lille,France,3187.6047,1356.6056,21882.99012,2,1,0,21882.99012,0,1081875.957,92.48722522,15140.34168,0.140286667
151,9.864712446,0.837282454,5596475.639,6146839.087,79.08441695,86.86166379,49.42934186,29.55433583,0,21.62688434,0.761696058,0.284341813,42170.25075,16201.66316,2.602834681,0.09881115,0.80685002,0.6212,1.42805002,Lille,France,2810.1651,777.9584,17148.20991,2,1,0,17148.20991,0,1081875.957,94.00396675,15663.68643,0.14276
152,12.97374082,2.351556188,4232170.785,5524097.721,35.21923733,45.97038224,78.38442013,30.28376935,0,0.891520356,1.27506372,0.499998245,47030.56634,18227.67274,2.580173949,0.14594497,0.971885067,1.28,2.251885067,Lille,France,5824.8184,543.256,20863.69097,2,1,0,20863.69097,0,1081875.957,69.20072469,11894.03672,0.07822381
153,13.46985931,2.78812469,1751672.75,3070705.263,22.42286172,39.30757016,69.89071551,33.24847354,0,0.810479693,1.286633873,0.501347913,48653.11439,19536.19089,2.49040945,0.153606794,1.003851497,1.1931,2.196951497,Lille,France,5397.9476,499.4472,17414.01029,2,1,0,17414.01029,0,1081875.957,58.56118614,9905.205558,0.046836
154001,12.34549436,0.78196969,5170029.394,9055808.327,15.7086549,27.51523386,94.54459563,37.25368329,0,0.784384067,1.830740403,0.687865341,63705.80546,24345.77525,2.616708846,0.163600296,1.111684438,2.1907,3.302384438,Lille,France,10188.0973,694.7201,3749.848561,2,1,0,3749.848561,1,1081875.957,35.70804033,6690.29088,0.0128
154002,11.01584952,1.710888173,1918789.118,2085699.834,44.56827319,48.44515695,87.22636899,35.58323015,0,1.499249459,0.64306741,0.267457328,59391.13895,23054.01146,2.576173741,0.156928975,1.021079121,2.1292,3.150279121,Lille,France,11118.846,2717.9718,1972.768445,2,1,0,1972.768445,1,1081875.957,67.9472996,10095.44531,0.0198
154004,12.15469945,0.503854459,5524628.878,5818024.613,19.51675329,20.55322693,82.64479767,36.52338793,0,0.636452883,1,0.25,57316.64264,23113.73363,2.479765647,0.191070479,1.085158918,1.4088,2.493958918,Lille,France,6437.088,586.222,2013.590826,2,1,0,2013.590826,1,1081875.957,61.21378342,10764.79947,0.0227
154006,10.81687182,1.834367972,3747169.173,3747169.173,106.6184715,106.6184715,63.87443347,35.16534826,0,1.731323319,1.599782186,0.507930934,50199.43859,20928.46413,2.398620285,0.149416677,0.988286841,0.9654,1.953686841,Lille,France,4602.0623,333.6517,1993.800328,2,1,0,1993.800328,1,1081875.957,87.33166435,13011.80605,0.0289
154007,10.72806344,1.998363502,4846172.276,5037626.671,78.68255092,81.79100835,42.3757646,31.3531185,0,2.629790124,0.8654929,0.454802467,42984.94065,17918.2825,2.398943126,0.121838397,1.005417544,1.0945,2.099917544,Lille,France,5068.8877,2121.2862,3735.281398,2,1,0,3735.281398,0,1081875.957,92.43281297,13967.80926,0.0455
154008,11.24752094,1.48589556,1960162.695,1960162.695,59.04780738,59.04780738,62.61483656,34.32012191,0,2.010729353,1.197942702,0.563214712,50240.83417,20884.9185,2.405603554,0.164648122,1.064287671,1.0462,2.110487671,Lille,France,5046.9334,639.9869,3093.121383,2,1,0,3093.121383,1,1081875.957,87.12761841,13407.90086,0.0465
154010,11.91662473,1.147152541,2315828.862,2499689.557,28.21454988,30.45458879,63.39117475,32.59962727,0,1.943093458,1.350189535,1,51829.67313,20185.11634,2.567717335,0.158396304,0.967545436,0.5502,1.517745436,Lille,France,2398.8398,0,2100.656106,2,1,0,2100.656106,1,1081875.957,66.1108861,11499.61625,0.0394
154011,12.64298567,0.780504218,2022399.497,2787252.508,19.8974669,27.42250709,90.89240522,36.66913458,0,0.384116898,1.859823872,0.690472061,60857.69843,23434.88366,2.596885024,0.197555733,1.079363982,1.6366,2.715963982,Lille,France,7328.3918,422.3005,4544.394697,2,1,0,4544.394697,1,1081875.957,56.11263481,9928.332705,0.0571
154013,13.15705003,0.617240047,2218566.258,5414651.264,10.500944,25.62869127,87.98209156,37.29940451,0,0.036746244,1.431721437,0.555697408,58826.30269,23393.43575,2.514649978,0.202925181,1.0547869,1.2515,2.3062869,Lille,France,5118.6668,1118.9754,2628.241886,2,1,0,2628.241886,1,1081875.957,37.54445383,6763.061009,0.0595
154014,13.5584627,0.975557239,1759599.309,1847950.427,37.07787733,38.93959205,84.0928281,37.51427719,0,0.083046941,1.520114458,0.707827814,54764.324,23086.94321,2.372090731,0.231124599,1.201355341,1.9578,3.159155341,Lille,France,9719.4033,0,2429.37452,2,1,0,2429.37452,1,1081875.957,39.99300517,7362.571052,0.0987
155001,8.5928313,1.467014107,1270475.197,2010174.525,13.52553678,21.4004095,92.35265032,41.25419379,0,0.215891713,2,0.522704957,76887.39257,27626.61119,2.78309171,0.185301337,1.358143996,1.7776,3.135743996,Lille,France,8417.9332,0,2432.535826,2,1,0,2432.535826,2,1081875.957,56.11263481,10290.48447,0.0595
155004,9.576727936,0.480165788,3659939.303,8984657.134,6.005598243,14.74293332,83.29242809,37.41698833,0,0.146191467,1.667810546,0.57918667,65622.81936,25506.71166,2.572766738,0.154738028,1.046087606,1.8748,2.920887606,Lille,France,8642.1803,811.0139,2885.230047,2,1,0,2885.230047,1,1081875.957,31.0149836,5857.253722,0
155008,9.901759548,0.910955732,793658.7112,1349453.749,26.93312332,45.7942485,85.60886399,34.90915073,0,0.557032465,1.390925922,0.569930979,59332.8721,22508.15037,2.636061654,0.158098256,1.124987117,1.4168,2.541787117,Lille,France,6808.7053,254.67,1870.017918,2,1,0,1870.017918,1,1081875.957,65.49874826,11053.30207,0.0119
155009,10.29509818,1.543422045,1771333.245,1795450.345,61.89401078,62.73671164,57.95519673,32.81187795,0,0.944830918,1.480203082,0.472668788,46766.44581,19216.47068,2.433664672,0.141102865,0.928814415,1.307,2.235814415,Lille,France,6041.5653,954.4789,1729.241973,2,1,0,1729.241973,0,1081875.957,89.3721238,13372.32484,0.0272
155011,10.29904202,1.838475216,3936717.846,3936717.846,71.09916007,71.09916007,43.11180716,30.31837906,0,1.267684305,1.04179133,0.4479509,41916.89961,17292.73175,2.423960553,0.122024013,0.880791815,0.7607,1.641491815,Lille,France,1996.6621,6230.5235,1202.181471,2,1,0,1202.181471,0,1081875.957,98.55419131,14695.74276,0.0384
155013,9.84255241,1.612320144,1931025.072,1931025.072,48.24869921,48.24869921,65.59231684,29.82238743,0,0.595788873,0.619800674,0.319634939,46998.27263,17906.19208,2.624693873,0.141770736,0.932531999,0.8564,1.788931999,Lille,France,3677.3697,0,1120.960372,2,1,0,1120.960372,0,1081875.957,99.57442104,15672.2891,0.062
155015,9.682461375,1.028236471,2084589.687,2084589.687,52.14945036,52.14945036,97.02163504,33.85159474,0,0.245686099,1.348084878,0.525174273,59767.22205,21660.04285,2.759330739,0.168185171,1.10739037,1.1362,2.24359037,Lille,France,5460.5053,700.9456,1144.226968,2,1,0,1144.226968,1,1081875.957,78.76173467,12497.44969,0.0405
155016,9.471025601,1.582810135,1233696.495,1233696.495,56.62656287,56.62656287,61.792746,29.2119485,0,0.342575529,1.137927253,0.579996572,45407.52934,17380.42614,2.61256709,0.138380297,0.784520049,1.2984,2.082920049,Lille,France,5858.4426,306.6978,1359.146886,2,1,0,1359.146886,0,1081875.957,92.22876703,14784.26789,0.0465
